Fri Aug 25 13:34:49 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x03505930>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 13:35:10 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x03505C90>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 13:35:39 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x03CEDB90>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 13:36:00 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x03CEDF30>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 13:36:21 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x03CEDD90>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 13:55:19 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0367E790>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 13:55:40 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0367EAF0>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 13:59:56 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 13:59:56 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 13:59:56 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:00:18 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:00:18 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:00:18 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:01:00 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:01:00 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:01:00 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:02:24 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x03248A50>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 14:02:45 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x034BE0F0>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 14:03:06 2017	server error:HTTPConnectionPool(host='192.168.1.92', port=8004): Max retries exceeded with url: /api/date/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x03248E70>: Failed to establish a new connection: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。',))
Fri Aug 25 14:05:01 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:05:01 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:05:01 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:05:21 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:05:21 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:05:21 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:07:01 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:07:01 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:07:01 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:08:14 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:08:14 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:08:14 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:08:47 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:08:47 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:08:47 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:17:22 2017	unknow error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:17:49 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:17:49 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:17:49 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:18:10 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:18:10 2017	server error:'http://192.168.1.92:8004/api/date/'
Fri Aug 25 14:18:10 2017	server error:'http://192.168.1.92:8004/api/date/'
